trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
10,1000,1,0.016464,nan,0.025768,nan,-0.000409,-0.001125,0.003613,0.003543,-0.007709,0.000046,-0.001710,0.000153,-0.006471,-0.005483,-0.008282,0.009981,-0.030713,-0.018469,-0.017896,-0.037612
11,1000,1,0.024343,0.016269,nan,0.026511,0.001073,0.002787,-0.005120,0.000527,0.003662,0.001577,nan,-0.006351,-0.002721,-0.003306,-0.002610,0.007343,-0.016622,-0.021681,-0.011963,-0.007441
12,1000,1,0.020090,0.014329,0.012728,0.009003,-0.010246,-0.006838,0.003769,0.002169,-0.006661,0.003106,-0.001096,0.002007,0.001512,-0.001253,0.000372,0.007214,-0.027544,-0.019777,nan,nan
13,1000,1,0.016143,0.022601,0.018782,0.019537,nan,0.000422,-0.005999,-0.003854,0.013267,0.002736,-0.020128,0.003486,0.005669,0.008402,-0.004787,0.001931,nan,-0.006314,-0.017036,-0.023157
14,1000,1,0.026977,0.013880,0.012590,nan,-0.007711,0.008101,-0.001468,-0.000902,-0.005523,0.001073,0.012642,0.004728,-0.006400,0.008561,0.000209,nan,-0.034149,-0.014241,-0.020639,-0.015557
15,1000,1,0.021456,0.021453,0.015249,0.024772,nan,0.003196,-0.001825,-0.002281,-0.000138,-0.003898,-0.007701,-0.006963,0.000817,0.005091,0.003489,-0.001196,-0.028379,-0.012831,nan,-0.015526
16,1000,1,0.016820,0.020443,0.013815,nan,0.001791,0.002200,-0.005298,-0.004986,0.000996,-0.002350,-0.009141,0.004997,0.010194,0.002368,-0.008533,-0.000120,-0.016612,nan,-0.013634,-0.021383
17,1000,1,nan,0.015188,0.024517,0.016516,0.010213,-0.007413,0.007161,0.001531,-0.004704,-0.004352,0.005595,0.002999,0.006105,-0.004109,-0.007741,nan,-0.023945,-0.021855,-0.020605,-0.021197
18,1000,1,0.015494,0.013966,0.011888,0.018048,-0.000966,0.005755,0.000968,-0.004448,nan,-0.004825,-0.003849,-0.004441,0.014435,0.009335,nan,0.012140,-0.016762,-0.017947,-0.011156,-0.023334
19,1000,1,0.023420,0.021555,0.031137,0.016163,-0.008451,0.004159,-0.002025,0.004809,-0.000703,0.005039,-0.011343,0.005207,-0.002842,0.006179,-0.007441,-0.003082,nan,-0.015386,-0.038875,nan
20,1000,1,0.018868,nan,0.022792,0.017115,0.004269,-0.005854,0.003113,-0.007771,0.011735,-0.002075,-0.001914,-0.003359,0.005046,-0.002352,-0.001767,-0.004509,nan,-0.025785,-0.021761,-0.013391
21,1000,1,0.025738,0.012052,0.017852,0.018556,-0.001159,-0.001968,0.007551,-0.003784,nan,-0.004767,-0.004434,0.008528,-0.001069,0.003137,0.001892,0.009412,-0.019528,-0.018765,-0.028771,nan
22,1000,1,0.023431,0.009790,0.020523,0.015078,0.003548,-0.002530,-0.000180,-0.014396,-0.015809,-0.004210,nan,-0.002728,-0.000653,0.004459,-0.007709,0.001861,nan,-0.018502,-0.025017,-0.019984
23,1000,1,0.019015,0.022289,0.016396,0.023865,0.001757,-0.009875,-0.006928,-0.001349,-0.009350,0.014530,0.004010,0.002839,-0.003409,0.005078,0.012229,-0.005034,nan,-0.014779,nan,-0.010470
24,1000,1,0.010394,0.013787,0.026366,0.015983,-0.009322,-0.001235,-0.004805,-0.003781,0.003161,-0.000875,nan,-0.013038,0.001908,-0.004089,nan,-0.011247,-0.022618,-0.035933,-0.022728,-0.019652
25,1000,1,nan,0.019054,0.016857,0.016656,0.002679,0.002826,-0.003024,-0.009072,-0.003255,-0.004728,0.007796,0.005078,0.001183,0.006111,0.008966,-0.006210,nan,-0.030389,-0.018875,-0.018564
26,1000,1,0.020932,0.021031,nan,0.035135,-0.000632,-0.000684,-0.009877,-0.007273,-0.007471,-0.004927,0.004940,-0.008094,0.001049,-0.004685,0.000244,-0.001572,nan,-0.007925,-0.005513,-0.023852
27,1000,1,0.014804,0.015574,0.027918,0.018294,-0.005368,0.005366,0.001186,0.007586,-0.001058,-0.000609,0.001396,-0.003997,0.005316,0.003278,nan,-0.003365,-0.019650,-0.015734,-0.015757,nan
28,1000,1,0.026544,0.021153,0.014899,0.022541,nan,0.004755,-0.001359,-0.003503,-0.004130,0.004421,0.000671,-0.001813,0.001515,nan,-0.001283,0.001885,-0.022697,-0.018061,-0.040537,-0.011765
29,1000,1,nan,0.022257,0.030068,nan,-0.004270,0.009181,0.002997,0.005055,-0.005698,0.002806,0.009870,0.001335,-0.000665,-0.011092,-0.000400,0.004574,-0.013698,-0.009683,-0.039739,-0.025716
30,1000,1,0.020551,0.023183,0.010661,0.026197,-0.007313,nan,0.004386,-0.005921,0.006302,-0.004978,-0.001690,-0.012879,0.002062,0.001219,0.000282,-0.002011,-0.039643,-0.017475,-0.018254,nan
31,1000,1,0.013797,0.017254,0.018855,0.012334,-0.000873,0.002685,-0.014342,nan,-0.005975,0.001209,nan,0.000613,0.003655,-0.011050,0.003212,0.003010,-0.007533,-0.030224,-0.012778,-0.017160
32,1000,1,0.023274,0.014750,0.007109,0.015080,0.002257,0.026313,0.003959,-0.002133,0.002646,nan,nan,0.001749,0.005280,0.007223,0.000278,-0.006514,-0.011465,-0.017221,-0.015656,-0.022622
33,1000,1,0.012263,0.017549,0.011458,0.016101,-0.004795,nan,0.001782,-0.003825,0.004533,0.002330,-0.001256,0.002184,-0.001390,-0.001613,0.000030,0.004377,-0.021653,-0.022411,nan,-0.013958
34,1000,1,nan,0.017721,0.022953,0.026338,-0.001866,-0.008284,-0.004785,-0.005626,-0.003836,0.003943,nan,-0.011714,-0.000549,0.014718,0.000656,-0.002116,-0.033126,-0.014032,-0.013766,-0.019159
35,1000,1,0.015994,0.013458,0.013709,nan,nan,0.006357,-0.004171,0.006347,-0.002349,-0.002840,-0.000575,-0.000633,-0.001260,0.006453,-0.003630,-0.005788,-0.019403,-0.019509,-0.019232,-0.013047
36,1000,1,0.014058,0.011483,0.031523,0.025726,-0.003218,0.001463,0.008314,-0.006353,-0.009754,-0.004314,-0.009358,-0.004510,nan,nan,-0.007449,-0.010006,-0.019096,-0.021645,-0.012422,-0.013517
37,1000,1,0.017091,0.008286,0.017833,0.044667,-0.004307,0.000494,0.006683,0.002454,0.004213,-0.006289,0.006468,nan,-0.005791,-0.001149,-0.014755,nan,-0.026845,-0.027702,-0.019058,-0.010683
38,1000,1,0.019398,0.022200,0.021884,0.014842,-0.006794,nan,-0.009777,-0.000112,-0.005387,0.001446,-0.000560,-0.002064,-0.000015,-0.003654,-0.009149,0.004231,-0.031948,-0.021522,-0.020845,nan
39,1000,1,0.021092,0.014369,0.015866,0.017830,nan,-0.001698,0.002656,-0.003352,-0.005705,0.003547,0.001651,-0.003096,0.000798,0.003546,nan,0.003889,-0.017647,-0.015753,-0.011749,-0.020947
40,1000,1,0.018110,0.017170,0.020163,0.020127,-0.003184,nan,-0.011355,0.000140,-0.005211,-0.007439,-0.000073,0.003761,0.004329,-0.005809,0.004136,0.006367,-0.017789,-0.034609,nan,-0.021128
