trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
48,1000,1,0.017738,0.013273,0.016982,0.016782,-0.001688,-0.009660,-0.000020,0.010478,0.001931,0.004334,0.006818,-0.001496,-0.001250,0.000298,-0.013972,-0.015081,-0.019834,-0.018586
49,1000,1,0.013627,0.017972,0.020558,0.021808,0.002471,-0.004038,0.003010,-0.008564,-0.003799,0.001886,0.005619,0.001219,-0.002345,-0.000429,-0.019270,-0.022336,-0.020333,-0.009872
50,1000,1,0.014604,0.014192,0.021976,0.024543,-0.001436,-0.000622,-0.000296,-0.001217,-0.002723,0.006060,-0.003014,0.000248,-0.002798,0.000982,-0.017013,-0.015114,-0.019863,-0.012692
51,1000,1,0.022045,0.021874,0.010211,0.018208,0.006616,0.000444,-0.006189,0.003805,0.001929,0.001966,-0.000242,0.000552,-0.000208,0.001624,-0.034541,-0.006561,-0.019593,-0.008872
52,1000,1,0.017531,0.009785,0.017743,0.024538,-0.003327,0.006887,0.002315,0.003264,-0.000873,0.008690,0.000747,-0.000641,-0.001106,-0.004487,-0.021285,-0.020156,-0.017880,-0.020031
53,1000,1,0.015620,0.022172,-0.006892,0.017644,0.004728,-0.001203,-0.011034,0.003422,-0.002006,-0.003933,-0.002554,-0.003678,-0.008952,0.000040,-0.020411,-0.015264,-0.013013,-0.031903
54,1000,1,0.012303,0.028668,0.018157,0.020178,-0.003436,0.001120,-0.007221,0.005052,-0.004688,0.000842,0.000714,0.004027,-0.000713,0.002299,-0.013674,-0.016628,-0.020124,-0.019663
55,1000,1,0.012726,0.012144,0.012111,0.016973,-0.002886,-0.003039,-0.000758,-0.001837,0.007805,0.000252,0.002487,0.003911,-0.011571,-0.004772,-0.020781,-0.014571,-0.016298,-0.015692
56,1000,1,0.014081,0.018192,0.025222,0.021226,-0.002620,-0.002162,0.000293,-0.002172,0.001863,0.001593,-0.000203,0.000343,0.005259,-0.004843,-0.024148,-0.015740,-0.027792,-0.023474
57,1000,1,0.026389,0.010410,0.023605,0.020063,-0.000616,-0.005900,-0.002321,-0.000354,0.003728,0.000734,0.001067,-0.000532,0.006322,-0.001368,-0.022147,-0.020638,-0.011369,-0.028285
58,1000,1,0.020881,0.019981,0.014608,0.021828,0.001229,-0.002529,0.002801,0.000051,-0.001443,0.002054,0.000870,0.001120,-0.003873,-0.000315,-0.015980,-0.019836,-0.024128,-0.025121
59,1000,1,0.015889,0.025889,0.014597,0.013855,-0.005857,-0.005316,-0.005336,0.001629,-0.002898,0.000598,-0.000582,0.000864,-0.001594,-0.001649,-0.018486,-0.015994,-0.023308,-0.021253
