trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
42,1000,1,0.014972,0.018033,0.014065,0.017038,0.005246,-0.003891,-0.000083,0.003698,-0.001681,-0.008124,-0.002401,0.006317,-0.004283,-0.007994,-0.017385,-0.017979,-0.018301,-0.019923
43,1000,1,0.017611,0.019579,0.013386,0.016533,-0.001994,-0.001375,-0.005207,0.006031,-0.002421,0.000449,0.006352,-0.005885,-0.002815,-0.001626,-0.018734,-0.024309,-0.021895,-0.014650
44,1000,1,0.018454,0.020722,0.021807,0.015710,-0.007227,-0.004452,-0.000483,0.001786,-0.000978,0.003685,0.001394,0.001742,0.003129,0.007294,-0.018783,-0.015745,-0.011666,-0.020013
45,1000,1,0.026627,0.021388,0.018584,0.025597,0.002471,-0.001681,-0.001660,0.001119,-0.000405,0.002412,0.000446,-0.001902,-0.001186,-0.000902,-0.013679,-0.022558,-0.021870,-0.017396
46,1000,1,0.025186,0.016254,0.016311,0.012179,-0.002653,-0.000718,-0.008495,0.003864,0.002487,0.003218,-0.003646,0.000082,-0.000805,-0.001650,-0.016459,-0.022885,-0.017074,-0.019317
47,1000,1,0.018237,0.026230,0.015644,0.012094,0.003874,0.000839,0.002973,-0.006596,-0.000510,-0.000389,-0.000484,-0.001095,0.000048,0.002903,-0.014951,-0.019859,-0.023495,-0.023176
48,1000,1,0.019338,0.012068,0.018041,0.015467,-0.001089,-0.005453,-0.001675,0.007054,0.000037,0.000481,0.006691,0.000968,-0.000084,-0.001047,-0.013998,-0.012693,-0.017745,-0.016787
49,1000,1,0.018859,0.016184,0.018580,0.020322,-0.000903,-0.002257,0.002140,-0.007432,-0.000205,0.002726,0.001626,0.001331,-0.001492,-0.002861,-0.018991,-0.019453,-0.024705,-0.015563
50,1000,1,0.017762,0.014859,0.025385,0.017356,-0.002774,-0.001378,-0.001914,-0.003726,-0.005379,0.003738,-0.001287,0.001798,-0.000505,-0.000818,-0.016099,-0.012850,-0.021335,-0.014713
51,1000,1,0.021386,0.021338,0.012225,0.014171,0.004570,-0.001973,-0.002601,0.003469,0.001817,-0.000231,-0.000074,-0.000619,-0.000610,0.000160,-0.025133,-0.013245,-0.018286,-0.014549
52,1000,1,0.017769,0.010874,0.014633,0.020989,-0.000652,0.003965,0.002239,0.001009,0.000182,0.007334,0.000952,-0.002768,0.000493,-0.004305,-0.022352,-0.018747,-0.012338,-0.023031
53,1000,1,0.014096,0.017685,0.007798,0.020079,0.003365,-0.000815,-0.008607,0.002565,-0.002241,-0.004057,-0.000831,0.000383,-0.003968,0.001154,-0.022396,-0.016870,-0.015398,-0.030027
54,1000,1,0.011862,0.026500,0.018444,0.021581,-0.003575,0.000573,-0.006628,0.004179,-0.003778,0.003410,0.002845,0.003197,-0.004538,0.001866,-0.020755,-0.023979,-0.020752,-0.024605
